,price,year,mileage,clusters,cluster
696,17000,2015,27927.0,1,purple
697,14000,2014,135127.0,0,pink
698,32100,2018,55532.0,2,dark purple
699,33100,2019,72172.0,2,dark purple
700,31600,2018,57751.0,2,dark purple
701,5100,2013,96314.0,2,dark purple
702,4100,2013,89152.0,2,dark purple
703,7200,2014,114660.0,0,pink
704,12800,2014,177322.0,0,pink
705,46800,2019,36423.0,1,purple
706,21800,2019,23759.0,1,purple
707,3000,2013,120667.0,0,pink
708,22500,2017,65344.0,2,dark purple
709,35300,2018,51347.0,1,purple
710,16500,2017,52322.0,1,purple
711,33000,2017,67620.0,2,dark purple
712,31500,2017,59965.0,2,dark purple
713,34500,2017,28739.0,1,purple
714,8000,2016,77429.0,2,dark purple
715,25000,2017,20847.0,1,purple
716,10700,2016,44280.0,1,purple
717,13400,2016,86031.0,2,dark purple
718,16500,2019,7622.0,1,purple
719,34000,2019,8067.0,1,purple
720,14100,2018,16502.0,1,purple
721,38600,2019,20681.0,1,purple
722,9100,2016,54655.0,2,dark purple
723,8600,2016,57825.0,2,dark purple
724,22000,2016,58856.0,2,dark purple
725,8900,2015,85072.0,2,dark purple
726,15500,2015,79506.0,2,dark purple
727,3300,2015,85301.0,2,dark purple
728,29000,2015,69377.0,2,dark purple
729,17300,2020,15577.0,1,purple
730,30500,2020,23470.0,1,purple
731,25000,2020,18715.0,1,purple
732,2800,2012,61258.0,2,dark purple
733,3300,2012,131791.0,0,pink
734,36400,2019,35705.0,1,purple
735,34800,2019,48982.0,1,purple
736,20700,2019,33745.0,1,purple
737,32200,2019,42267.0,1,purple
738,35300,2019,46863.0,1,purple
739,33500,2019,36443.0,1,purple
740,13700,2019,14939.0,1,purple
741,15900,2019,22026.0,1,purple
742,33200,2019,38278.0,1,purple
743,35500,2019,46149.0,1,purple
744,29800,2018,48427.0,1,purple
745,29800,2018,48807.0,1,purple
746,29500,2018,52618.0,1,purple
747,30300,2018,46494.0,1,purple
748,24300,2018,56296.0,2,dark purple
749,29800,2017,33909.0,1,purple
750,29800,2017,33028.0,1,purple
751,27500,2016,44653.0,1,purple
752,10800,2017,80516.0,2,dark purple
753,11500,2017,105151.0,2,dark purple
754,10400,2017,78368.0,2,dark purple
755,11400,2018,78956.0,2,dark purple
756,11400,2018,88564.0,2,dark purple
757,8000,2015,78800.0,2,dark purple
758,3000,2012,111856.0,0,pink
759,25000,2015,80946.0,2,dark purple
760,12300,2017,83168.0,2,dark purple
761,14100,2017,58606.0,2,dark purple
762,9000,2014,82020.0,2,dark purple
763,4200,2014,102500.0,2,dark purple
764,22500,2019,8150.0,1,purple
765,22600,2019,6159.0,1,purple
766,22600,2019,5938.0,1,purple
767,22500,2019,9019.0,1,purple
768,10200,2018,45836.0,1,purple
769,42700,2016,60215.0,2,dark purple
770,21200,2015,125507.0,0,pink
771,22700,2016,90944.0,2,dark purple
772,22000,2015,82785.0,2,dark purple
773,9600,2014,150525.0,0,pink
774,10500,2013,112267.0,0,pink
775,6700,2013,139394.0,0,pink
776,14200,2013,82543.0,2,dark purple
777,15500,2019,13532.0,1,purple
778,35100,2018,14751.0,1,purple
779,26300,2018,11150.0,1,purple
780,15700,2016,91248.0,2,dark purple
781,17600,2016,65336.0,2,dark purple
782,18600,2016,48974.0,1,purple
783,19100,2016,40011.0,1,purple
784,15200,2019,37444.0,1,purple
785,16100,2019,43199.0,1,purple
786,14800,2019,43589.0,1,purple
787,16700,2019,32870.0,1,purple
788,15300,2019,38826.0,1,purple
789,16500,2019,33739.0,1,purple
790,19600,2019,35309.0,1,purple
791,15200,2019,32248.0,1,purple
792,15000,2019,36165.0,1,purple
793,15500,2019,29922.0,1,purple
794,15700,2019,26848.0,1,purple
795,14800,2019,41163.0,1,purple
796,9200,2017,32856.0,1,purple
797,8200,2017,100315.0,2,dark purple
798,11400,2013,91638.0,2,dark purple
799,6500,2015,83173.0,2,dark purple
800,11500,2014,94356.0,2,dark purple
801,23800,2015,85792.0,2,dark purple
802,8900,2014,129068.0,0,pink
803,28300,2019,27665.0,1,purple
804,27300,2019,25427.0,1,purple
805,3500,2013,78198.0,2,dark purple
806,28300,2020,13886.0,1,purple
807,18300,2019,34538.0,1,purple
808,22500,2018,20575.0,1,purple
809,22500,2018,26026.0,1,purple
810,8300,2012,99015.0,2,dark purple
811,16500,2019,27327.0,1,purple
812,14500,2019,30229.0,1,purple
813,30000,2019,43294.0,1,purple
814,30000,2019,54309.0,1,purple
815,30000,2019,52822.0,1,purple
816,30000,2019,45554.0,1,purple
817,30000,2019,37538.0,1,purple
818,29500,2019,35153.0,1,purple
819,21600,2019,23783.0,1,purple
820,22600,2019,30759.0,1,purple
821,16300,2019,38922.0,1,purple
822,8600,2012,165836.0,0,pink
823,28800,2019,19235.0,1,purple
824,22100,2019,9445.0,1,purple
825,14300,2018,19164.0,1,purple
826,13700,2018,54106.0,2,dark purple
827,29500,2017,32051.0,1,purple
828,18500,2017,14870.0,1,purple
